tick,coherence,entropy,decoherence
1,0.999860,0.000699,0.000009
2,0.999860,0.000698,0.000009
3,0.999861,0.000697,0.000009
4,0.999861,0.000696,0.000009
5,0.999861,0.000695,0.000009
6,0.999861,0.000694,0.000009
7,0.999861,0.000693,0.000009
8,0.999862,0.000692,0.000009
9,0.999862,0.000691,0.000009
10,0.999862,0.000690,0.000009
11,0.999862,0.000689,0.000009
12,0.999862,0.000688,0.000009
13,0.999863,0.000687,0.000009
14,0.999863,0.000686,0.000009
15,0.999863,0.000685,0.000009
16,0.999863,0.000684,0.000009
17,0.999863,0.000683,0.000009
18,0.999864,0.000682,0.000009
19,0.999864,0.000681,0.000009
20,0.999864,0.000680,0.000009
21,0.999864,0.000679,0.000009
22,0.999864,0.000678,0.000009
23,0.999865,0.000677,0.000009
24,0.999865,0.000676,0.000009
25,0.999865,0.000675,0.000009
26,0.999865,0.000674,0.000009
27,0.999865,0.000673,0.000009
28,0.999866,0.000672,0.000009
29,0.999866,0.000671,0.000009
30,0.999866,0.000670,0.000009
31,0.999866,0.000669,0.000009
32,0.999866,0.000668,0.000009
33,0.999867,0.000667,0.000009
34,0.999867,0.000666,0.000009
35,0.999867,0.000665,0.000009
36,0.999867,0.000664,0.000009
37,0.999867,0.000663,0.000009
38,0.999868,0.000662,0.000009
39,0.999868,0.000661,0.000009
40,0.999868,0.000660,0.000009
41,0.999868,0.000659,0.000009
42,0.999868,0.000658,0.000009
43,0.999869,0.000657,0.000009
44,0.999869,0.000656,0.000009
45,0.999869,0.000655,0.000009
46,0.999869,0.000654,0.000009
47,0.999869,0.000653,0.000009
48,0.999870,0.000652,0.000009
49,0.999870,0.000651,0.000009
50,0.999870,0.000650,0.000009
