[AUDIT] ⚠️  Value 1.570796 out of range, clamping
[AUDIT] ⚠️  Value 1.569226 out of range, clamping
[AUDIT] ⚠️  Value 1.567656 out of range, clamping
[AUDIT] ⚠️  Value 1.566089 out of range, clamping
[AUDIT] ⚠️  Value 1.564523 out of range, clamping
[AUDIT] ⚠️  Value 1.562958 out of range, clamping
[AUDIT] ⚠️  Value 1.561395 out of range, clamping
[AUDIT] ⚠️  Value 1.559834 out of range, clamping
[AUDIT] ⚠️  Value 1.558274 out of range, clamping
[AUDIT] ⚠️  Value 1.556716 out of range, clamping
[AUDIT] ⚠️  Value 1.555159 out of range, clamping
[AUDIT] ⚠️  Value 1.553604 out of range, clamping
[AUDIT] ⚠️  Value 1.552050 out of range, clamping
[AUDIT] ⚠️  Value 1.550498 out of range, clamping
[AUDIT] ⚠️  Value 1.548948 out of range, clamping
[AUDIT] ⚠️  Value 1.547399 out of range, clamping
[AUDIT] ⚠️  Value 1.545851 out of range, clamping
[AUDIT] ⚠️  Value 1.544305 out of range, clamping
[AUDIT] ⚠️  Value 1.542761 out of range, clamping
[AUDIT] ⚠️  Value 1.541218 out of range, clamping
[AUDIT] ⚠️  Value 1.539677 out of range, clamping
[AUDIT] ⚠️  Value 1.538137 out of range, clamping
[AUDIT] ⚠️  Value 1.536599 out of range, clamping
[AUDIT] ⚠️  Value 1.535063 out of range, clamping
[AUDIT] ⚠️  Value 1.533528 out of range, clamping
[AUDIT] ⚠️  Value 1.531994 out of range, clamping
[AUDIT] ⚠️  Value 1.530462 out of range, clamping
[AUDIT] ⚠️  Value 1.528932 out of range, clamping
[AUDIT] ⚠️  Value 1.527403 out of range, clamping
[AUDIT] ⚠️  Value 1.525875 out of range, clamping
[AUDIT] ⚠️  Value 1.524349 out of range, clamping
[AUDIT] ⚠️  Value 1.522825 out of range, clamping
[AUDIT] ⚠️  Value 1.521302 out of range, clamping
[AUDIT] ⚠️  Value 1.519781 out of range, clamping
[AUDIT] ⚠️  Value 1.518261 out of range, clamping
[AUDIT] ⚠️  Value 1.516743 out of range, clamping
[AUDIT] ⚠️  Value 1.515226 out of range, clamping
[AUDIT] ⚠️  Value 1.513711 out of range, clamping
[AUDIT] ⚠️  Value 1.512197 out of range, clamping
[AUDIT] ⚠️  Value 1.510685 out of range, clamping
[AUDIT] ⚠️  Value 1.509174 out of range, clamping
[AUDIT] ⚠️  Value 1.507665 out of range, clamping
